Cereal,Manufacturer,Type,Calories,Protein,Fat,Sodium,Fiber,Carbohydrates,Sugars,Shelf,Potassium,Vitamins,Weight,Cups,PCA1,PCA2,Cluster
Wheaties,G,C,100,3,1,200,3.0,17.0,3,1,110,25,1.0,1.0,0.39474810010471956,0.7080401875879614,2
Wheaties Honey Gold,G,C,110,2,1,200,1.0,16.0,8,1,60,25,1.0,0.75,-1.0193218686867243,-0.13609379533624139,1
All-Bran,K,C,70,4,1,260,9.0,7.0,5,3,320,25,1.0,0.33,4.755579691028766,0.3210708384983683,0
All-Bran with Extra Fiber,K,C,50,4,0,140,14.0,8.0,0,3,330,25,1.0,0.5,6.429158782489335,2.344066916881492,0
Apple Jacks,K,C,110,2,0,125,1.0,11.0,14,2,30,25,1.0,1.0,-0.9751069395934225,-0.3973105328084441,1
Corn Flakes,K,C,100,2,0,290,1.0,21.0,2,1,35,25,1.0,1.0,-1.6191132204208614,1.582088504701609,2
Corn Pops,K,C,110,1,0,90,1.0,13.0,12,2,20,25,1.0,1.0,-1.4716353056959395,0.06248612919411518,1
Cracklin' Oat Bran,K,C,110,3,3,140,4.0,10.0,7,3,160,25,1.0,0.5,1.68157019168465,-1.493880610682388,0
Crispix,K,C,110,2,0,220,1.0,21.0,3,3,30,25,1.0,1.0,-1.6521657474674107,1.296588650786279,2
Froot Loops,K,C,110,2,1,125,1.0,11.0,13,2,30,25,1.0,1.0,-0.8419489178272047,-0.8103467552983422,1
Frosted Flakes,K,C,110,1,0,200,1.0,14.0,11,1,25,25,1.0,0.75,-1.7073338108471887,0.034479116612612146,1
Frosted Mini-Wheats,K,C,100,3,0,0,3.0,14.0,7,2,100,25,1.0,0.8,0.7436930590633737,0.9688915913666449,2
Fruitful Bran,K,C,120,3,0,240,5.0,14.0,12,3,190,25,1.33,0.67,1.0658377112960866,-0.8272729874855029,0
Just Right Crunchy  Nuggets,K,C,110,2,1,170,1.0,17.0,6,3,60,100,1.0,-1.0,-0.9819043089811504,0.21360361685203316,2
Just Right Fruit & Nut,K,C,140,3,1,170,2.0,20.0,9,3,95,100,1.3,0.75,-0.7349271721335626,-0.9871136240459787,2
Mueslix Crispy Blend,K,C,160,3,2,150,3.0,17.0,13,3,160,25,1.5,0.67,0.055964344928015004,-2.8487995088547753,0
Nut&Honey Crunch,K,C,120,2,1,190,0.0,15.0,9,2,40,25,1.0,0.67,-1.4465601501216614,-0.5519981760731183,1
Nutri-Grain Almond-Raisin,K,C,140,3,2,220,3.0,21.0,7,3,130,25,1.33,0.67,-0.24877737030330158,-1.378528769404763,2
Nutri-grain Wheat,K,C,90,3,0,170,3.0,18.0,2,3,90,25,1.0,-1.0,0.25371930449698127,1.8060828840047982,2
Product 19,K,C,100,3,0,320,1.0,20.0,3,3,45,100,1.0,1.0,-1.1636902985330886,1.3044453837800796,2
Raisin Bran,K,C,120,3,1,210,5.0,14.0,12,2,240,25,1.33,0.75,1.61663318109735,-1.4171526266550283,0
Raisin Squares,K,C,90,2,0,0,2.0,15.0,6,3,110,25,1.0,0.5,0.25366446660129716,1.4375877050942232,2
Rice Krispies,K,C,110,2,0,290,0.0,22.0,3,1,35,25,1.0,1.0,-2.0709311646545143,1.2055744738397185,2
Smacks,K,C,110,2,1,70,1.0,9.0,15,2,40,25,1.0,0.75,-0.5510678333541105,-1.0827506565193943,1
Special K,K,C,110,6,0,230,1.0,16.0,3,1,55,25,1.0,1.0,0.46757137362343215,0.855658143104118,2
100% Bran,N,C,70,4,1,130,10.0,5.0,6,3,280,25,1.0,0.33,5.077894605229212,0.416153745537579,0
Shredded Wheat,N,C,80,2,0,0,3.0,16.0,0,1,95,0,0.83,-1.0,0.5711681349279821,2.5648900790227205,2
Shredded Wheat 'n'Bran,N,C,90,3,0,0,4.0,19.0,0,1,140,0,1.0,0.67,1.195835962197158,2.302397071810405,2
Shredded Wheat spoon size,N,C,90,3,0,0,3.0,20.0,0,1,120,0,1.0,0.67,0.7265868986827793,2.3853271358057726,2
Strawberry Fruit Wheats,N,C,90,2,0,15,3.0,15.0,5,2,90,25,1.0,-1.0,0.33351888240443295,1.585923303106896,2
Bran Flakes,P,C,90,3,0,210,5.0,13.0,5,3,190,25,1.0,0.67,1.7265028321760285,0.9245945078054256,2
"Fruit & Fibre Dates, Walnuts, and Oats",P,C,120,3,2,160,5.0,12.0,10,3,200,25,1.25,0.67,1.7294150574883023,-1.6340704294605122,0
Fruity Pebbles,P,C,110,1,1,135,0.0,13.0,12,2,25,25,1.0,0.75,-1.6553383093173404,-0.5716272057369929,1
Golden Crisp,P,C,100,2,0,45,0.0,11.0,15,1,40,25,1.0,0.88,-0.8915794929000465,-0.11843388814144577,1
Grape Nuts Flakes,P,C,100,3,1,140,3.0,15.0,5,3,85,25,1.0,0.88,0.4264753422069329,0.5176773463678291,2
Grape-Nuts,P,C,110,3,0,170,3.0,17.0,3,3,90,25,1.0,0.25,0.0877780019633653,1.045832178362101,2
Great Grains Pecan,P,C,120,3,3,75,3.0,13.0,4,3,100,25,1.0,0.33,0.8530856671329277,-1.0365592625931028,0
Honey-comb,P,C,110,1,0,180,0.0,14.0,11,1,35,25,1.0,1.33,-1.8261369973965011,0.03992011714574585,1
Post Nat. Raisin Bran,P,C,120,3,1,200,6.0,11.0,14,3,260,25,1.33,0.67,2.2086257647643777,-1.8296627024215355,0
100% Natural Bran,Q,C,120,3,5,15,2.0,8.0,8,3,135,0,1.0,-1.0,1.5023474413820124,-2.8316299613667257,0
Cap'n'Crunch,Q,C,120,1,2,220,0.0,12.0,12,2,35,25,1.0,0.75,-1.67485617962526,-1.6200745147807833,1
Honey Graham Ohs,Q,C,120,1,2,220,1.0,12.0,11,2,45,25,1.0,1.0,-1.33378486119975,-1.5085730074633679,1
Life,Q,C,100,4,2,150,2.0,12.0,6,2,95,25,1.0,0.67,0.9496483749257126,-0.3694097125289877,0
Puffed Rice,Q,C,50,1,0,0,0.0,13.0,0,3,15,0,0.5,1.0,-0.5781567103953292,3.4708687667410136,2
Puffed Wheat,Q,C,50,2,0,0,1.0,10.0,0,3,50,0,0.5,-1.0,0.5527368247414995,3.226704581249644,2
Quaker Oat Squares,Q,C,100,4,1,135,2.0,14.0,6,3,110,25,1.0,0.5,0.8319641228094304,0.26104062985788246,2
Almond Delight,R,C,110,2,2,200,1.0,14.0,8,3,-1,25,1.0,0.75,-1.225158200317411,-0.6440837649143003,1
Bran Chex,R,C,90,2,1,200,4.0,15.0,6,1,125,25,1.0,0.67,0.5415975937161609,0.5383585928889114,2
Corn Chex,R,C,110,2,0,280,0.0,22.0,3,1,25,25,1.0,1.0,-2.127603991736269,1.2438978068646616,2
Double Chex,R,C,100,2,0,190,1.0,18.0,5,3,80,25,1.0,0.75,-0.916508112123451,1.140989445973638,2
"Muesli Raisins, Dates, & Almonds",R,C,150,4,3,95,3.0,16.0,11,3,170,25,-1.0,-1.0,0.9811133542777483,-2.8502292707879047,0
"Muesli Raisins, Peaches, & Pecans",R,C,150,4,3,150,3.0,16.0,11,3,170,25,-1.0,-1.0,0.8696486170390574,-2.945728714362936,0
Rice Chex,R,C,110,1,0,240,0.0,23.0,2,1,30,25,1.0,1.13,-2.4473518833474595,1.5074647662374265,2
Wheat Chex,R,C,100,3,1,230,3.0,17.0,3,1,115,25,1.0,0.67,0.3724187239916463,0.6454696830868397,2
Maypo,A,H,100,4,1,0,0.0,16.0,3,2,95,25,1.0,-1.0,0.44298076006944465,0.981314087769405,2
Cream of Wheat (Quick),N,H,100,3,0,80,1.0,21.0,0,2,-1,0,1.0,1.0,-1.0267429490073028,2.239327138207232,2
Quaker Oatmeal,Q,H,100,5,2,0,2.7,-1.0,-1,1,110,0,1.0,0.67,3.145734537718428,0.06187867214511857,0
